DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
CAYUGA ISD,'001902,573,CAYUGA H S,'001902001,171, , , , , ,22,3,14,7,4
CAYUGA ISD,'001902,573,CAYUGA MIDDLE,'001902041,159, , , , , ,12,4,5,6,5
CAYUGA ISD,'001902,573,CAYUGA EL,'001902103,243, , , , , ,8,8,0,12,4
CAYUGA ISD TOTAL,'001902,573,,,573, , , , , ,42,15,19,25,13
ELKHART ISD,'001903,1185,ELKHART H S,'001903001,315, , , , , ,24,0,0,1,23
ELKHART ISD,'001903,1185,ELKHART DAEP,'001903002,0, , , , , , , , , , 
ELKHART ISD,'001903,1185,ELKHART MIDDLE,'001903041,277, , , , , ,24,3,0,0,27
ELKHART ISD,'001903,1185,ELKHART EL,'001903101,332, , , , , ,10,5,0,2,13
ELKHART ISD,'001903,1185,ELKHART INT,'001903102,261, , , , , ,*,0,*,*,*
ELKHART ISD,'001903,1185,,"Multiple
Campus",, , , , , ,0,4,0,1,3
ELKHART ISD TOTAL,'001903,1185,,,1185, , , , , ,*,12,*,*,*
FRANKSTON ISD,'001904,822,FRANKSTON H S,'001904001,237, , , , , ,16,4,0,0,20
FRANKSTON ISD,'001904,822,FRANKSTON MIDDLE,'001904041,208, , , , , ,24,11,0,0,35
FRANKSTON ISD,'001904,822,FRANKSTON EL,'001904102,377, , , , , ,26,13,0,1,38
FRANKSTON ISD,'001904,822,,"Multiple
Campus",, , , , , ,0,9,0,0,9
FRANKSTON ISD TOTAL,'001904,822,,,822, , , , , ,66,37,0,1,102
NECHES ISD,'001906,345,NECHES H S,'001906002,107, , , , , ,19,1,0,0,20
NECHES ISD,'001906,345,NECHES EL,'001906102,238, , , , , ,50,7,2,8,47
NECHES ISD TOTAL,'001906,345,,,345, , , , , ,69,8,2,8,67
PALESTINE ISD,'001907,3392,PALESTINE H S,'001907001,1056, , , , , ,83,5,0,24,64
PALESTINE ISD,'001907,3392,PALESTINE J H,'001907041,515, , , , , ,33,7,0,4,36
PALESTINE ISD,'001907,3392,NORTHSIDE PRI,'001907101,479, , , , , ,11,2,1,1,11
PALESTINE ISD,'001907,3392,"WASHINGTON EARLY CHILDHOOD
CENTER",'001907102,230,*,0,*,*,*,7,13,0,1,19
PALESTINE ISD,'001907,3392,SOUTHSIDE EL,'001907107,477, , , , , ,*,2,*,*,*
PALESTINE ISD,'001907,3392,STORY INT,'001907110,635,*,0,*,*,*,43,6,0,3,46
PALESTINE ISD TOTAL,'001907,3392,,,3392,*,0,*,*,*,*,35,*,*,*
WESTWOOD ISD,'001908,1339,WESTWOOD H S,'001908002,405, , , , , , , , , , 
WESTWOOD ISD,'001908,1339,WESTWOOD J H,'001908041,204, , , , , , , , , , 
